,,,,,Total Summed Signal to Noise,,,,,,,,,,,,,,,,,,,
sp|P01027|CO3_MOUSE,C3,CO3_MOUSE Complement C3,6,4,1683.58,1864.53,2470.14,1091.4,1850.49,1903.99,2249.98,2018.38,2282.38,1754.45,715.666,662.087,478.515,852.11,730.921,493.619,968.671,1105.65,611.222,788.608
sp|P01029|CO4B_MOUSE,C4b,CO4B_MOUSE Complement C4-B,2,0,489.494,749.309,827.082,167.229,597.647,653.036,644.23,749.208,957.686,772.313,0,0,0,0,0,0,0,0,0,0
sp|P01632|KV1A1_MOUSE,Igkv7-33,KV1A1_MOUSE Ig kappa chain V-I region S107A,0,1,0,0,0,0,0,0,0,0,0,0,91.8427,90.5294,78.4783,180.985,181.35,79.2132,97.0605,154.35,119.31,196.707
sp|P01635|KV5A3_MOUSE,,KV5A3_MOUSE Ig kappa chain V-V region K2 (Fragment),1,1,202.445,219.879,81.3337,125.58,531.052,141.863,256.447,120.408,262.577,196.304,53.5159,431.703,174.407,772.295,366.706,90.3423,114.344,147.142,229.714,220.593
sp|P01644|KV5AB_MOUSE,,KV5AB_MOUSE Ig kappa chain V-V region HP R16.7,0,1,0,0,0,0,0,0,0,0,0,0,38.1814,192.11,115.139,385.817,229.601,64.2337,41.7904,122.925,41.8735,162.71
sp|P01660|KV3A8_MOUSE,,KV3A8_MOUSE Ig kappa chain V-III region PC 3741/TEPC 111,2,1,268.043,204.048,191.889,229.738,665.862,117.415,305.584,169.986,331.428,240.875,5.81658,197.198,83.4036,455.407,178.888,28.8665,23.4888,98.5714,35.0213,106.247
sp|P01664|KV3AC_MOUSE,,KV3AC_MOUSE Ig kappa chain V-III region CBPC 101,2,1,329.995,321.654,399.587,104.359,772.177,368.129,334.146,272.971,507.234,244.067,46.5521,104.344,74.2242,277.081,102.947,56.2527,53.9971,66.9456,32.5546,87.1301
sp|P01796|HVM27_MOUSE,,HVM27_MOUSE Ig heavy chain V-III region A4,0,2,0,0,0,0,0,0,0,0,0,0,65.925,269.944,106.617,592.415,311.167,87.0669,91.6631,128.768,181.816,148.627
sp|P01806|HVM36_MOUSE,,HVM36_MOUSE Ig heavy chain V region 441,0,2,0,0,0,0,0,0,0,0,0,0,106.65,341.808,163.503,542.664,327.833,136.181,88.9757,240.458,103.249,251.428
sp|P01837|IGKC_MOUSE,,IGKC_MOUSE Ig kappa chain C region,8,14,6889.64,5045.11,1591.05,6003.03,35405.6,3738.92,11330.7,2019.9,7710.47,3112.01,471.141,6625.7,1907.24,12903.3,5473.61,990.608,510.628,1894.74,563.915,2691.54
sp|P01843|LAC1_MOUSE,,LAC1_MOUSE Ig lambda-1 chain C region,0,1,0,0,0,0,0,0,0,0,0,0,65.4394,537.165,232.821,1139.2,519.078,98.0192,52.4275,219.47,48.5446,299.91
sp|P01863|GCAA_MOUSE,Ighg,"GCAA_MOUSE Ig gamma-2A chain C region, A allele",10,11,2951.64,2664.16,1320.19,2339.26,11155.8,2440.32,4602.87,1556.28,5452.12,2748.26,153.149,6177.44,1766.63,13654.5,4990.96,648.17,210.035,1796.46,312.487,2739.04
sp|P01867|IGG2B_MOUSE,Igh-3,IGG2B_MOUSE Ig gamma-2B chain C region,8,12,2236.4,2798.52,3621.8,1184.77,5269.84,2700.95,3085.97,2157.14,3236.8,2444.53,865.175,4198.89,1714.12,9784.49,3778.08,1031.32,1134.91,1830.21,819.549,2051.8
sp|P01868|IGHG1_MOUSE,Ighg1,IGHG1_MOUSE Ig gamma-1 chain C region secreted form,18,35,9329.37,8860.13,2273.69,8520.4,44603.3,6789.57,15594.7,3059.56,22188.7,5607.65,1970.72,21414.5,6699.93,49709.6,20628.6,3088.17,1616.18,6630.64,1890.72,11090.2
sp|P01872|IGHM_MOUSE,Ighm,IGHM_MOUSE Ig mu chain C region,0,1,0,0,0,0,0,0,0,0,0,0,98.8156,241.873,137.638,456.065,275.776,111.128,93.4879,114.893,76.6419,174.423
sp|P01897|HA1L_MOUSE,H2-L,"HA1L_MOUSE H-2 class I histocompatibility antigen, L-D alpha chain",1,0,403.143,275.787,387.998,309.742,299.808,398.421,559.1,519.815,334.48,325.353,0,0,0,0,0,0,0,0,0,0
sp|P01942|HBA_MOUSE,Hba,HBA_MOUSE Hemoglobin subunit alpha,0,1,0,0,0,0,0,0,0,0,0,0,248.37,51.248,52.1821,204.29,109.828,71.9511,51.5264,61.3537,73.0821,221.942
sp|P02301|H3C_MOUSE,H3f3c,H3C_MOUSE Histone H3.3C,2,0,1757.56,2316.35,3768.01,420.858,1982.03,1952.59,1289.58,2621.39,2837.18,1310.23,0,0,0,0,0,0,0,0,0,0
sp|P03987|IGHG3_MOUSE,,IGHG3_MOUSE Ig gamma-3 chain C region,7,5,2782.61,2955.55,2962.11,1529.44,4617.78,2203.35,2727.07,1941.27,3442.98,2633.12,410.361,1783,860.706,3470.79,1662.83,637.343,540.056,783.148,388.342,1061.71
sp|P04104|K2C1_MOUSE,Krt1,"K2C1_MOUSE Keratin, type II cytoskeletal 1",0,1,0,0,0,0,0,0,0,0,0,0,46.2989,51.8609,28.6025,64.3322,65.3656,607.601,1416.07,110.882,164.381,124.129
sp|P04117|FABP4_MOUSE,Fabp4,"FABP4_MOUSE Fatty acid-binding protein, adipocyte",0,1,0,0,0,0,0,0,0,0,0,0,3.33447,73.8933,45.9984,63.9459,185.55,116.361,78.8248,123.172,62.2536,226.747
sp|P04945|KV6AB_MOUSE,,KV6AB_MOUSE Ig kappa chain V-VI region NQ2-6.1,0,1,0,0,0,0,0,0,0,0,0,0,54.4776,170.097,103.754,358.735,191.799,67.8081,58.811,77.1735,67.5605,114.788
sp|P05064|ALDOA_MOUSE,Aldoa,ALDOA_MOUSE Fructose-bisphosphate aldolase A,3,3,656.697,3274.24,1400.4,323.232,836.919,980.955,848.852,1082.65,903.343,1457.38,181.742,204.023,363.484,234.448,238.558,209.608,162.569,328.133,1724.49,235.084
sp|P05214|TBA3_MOUSE,Tuba3a,TBA3_MOUSE Tubulin alpha-3 chain,7,12,2822.76,5479.43,2416.54,3084.61,2223.41,2090.11,3103.13,2805.09,3044.79,2849.36,1948.94,1360.75,1821.58,1794.36,2927.8,1863.31,2106.19,3309.21,2327.15,16400.6
sp|P05480|SRC_MOUSE,Src,SRC_MOUSE Neuronal proto-oncogene tyrosine-protein kinase Src,2,0,474.484,332.271,385.94,380.441,293.934,284.886,273.214,502.856,312.031,255.657,0,0,0,0,0,0,0,0,0,0
sp|P05784|K1C18_MOUSE,Krt18,"K1C18_MOUSE Keratin, type I cytoskeletal 18",1,0,159.916,184.886,222.24,340.589,179.067,247.95,128.51,208.721,153.963,151.962,0,0,0,0,0,0,0,0,0,0
sp|P05977|MYL1_MOUSE,Myl1,"MYL1_MOUSE Myosin light chain 1/3, skeletal muscle isoform",2,0,352.037,248.24,218.384,726.655,274.777,367.704,170.955,386.443,341.49,282.746,0,0,0,0,0,0,0,0,0,0
sp|P06151|LDHA_MOUSE,Ldha,LDHA_MOUSE L-lactate dehydrogenase A chain,1,2,332.733,387.051,417.169,277.255,1179.17,295.053,581.53,264.654,535.929,266.171,168.224,136.005,205.583,190.438,184.182,116.948,157.335,159.388,208.184,171.087
sp|P07356|ANXA2_MOUSE,Anxa2,ANXA2_MOUSE Annexin A2,2,6,347.354,1614.15,320.575,124.988,470.122,519.499,657.389,433.829,436.93,878.848,1083.86,1090.91,1448.15,934.102,1270.02,964.344,866.044,1302.14,2320.77,998.137
sp|P07724|ALBU_MOUSE,Alb,ALBU_MOUSE Serum albumin,15,5,4755.05,5010.38,17096.8,4863.31,6944.92,5407.02,4764.03,5855.02,4360.2,4510.61,504.654,1193.39,585.181,2001.36,893.576,560.682,474.802,626.441,516.781,774.93
sp|P07758|A1AT1_MOUSE,Serpina1a,A1AT1_MOUSE Alpha-1-antitrypsin 1-1,3,4,1141.88,1096.55,1552.26,672.916,1326.83,1007.8,1248.87,1466.08,930.74,1110.93,647.752,1055.23,624.739,1809.57,783.028,725.506,606.712,748.538,358.034,907.201
sp|P07901|HS90A_MOUSE,Hsp90aa1,HS90A_MOUSE Heat shock protein HSP 90-alpha,6,6,1571.25,2064.74,2550.54,1509.48,1710.46,1626.91,1626.06,1981.22,1925.01,2820.25,887.862,852.336,841.945,968.78,979.289,781.572,1115.67,1192.13,1065.03,4331.97
sp|P08003|PDIA4_MOUSE,Pdia4,PDIA4_MOUSE Protein disulfide-isomerase A4,18,9,8191.42,7098.76,15130.5,2761.79,10308.7,7769.75,11681,8578.75,10637,13156.6,1907.42,1739.41,1082.31,3023.57,1477.87,1421.07,1411.08,2195.16,1501.11,3214.11
sp|P08032|SPTA1_MOUSE,Spta1,"SPTA1_MOUSE Spectrin alpha chain, erythrocytic 1",26,11,7771.46,3711.86,4011.09,12601,3628.69,5360.96,3025.83,11849.8,3363.7,3527.74,2271.19,2024.21,895.978,1040.55,5828.31,2155.89,1715.4,444.118,1065.19,513.309
sp|P08101-2|FCGR2_MOUSE,Fcgr2,FCGR2_MOUSE Isoform IIB2 of Low affinity immunoglobulin gamma Fc region receptor II,6,5,2902.11,3664.39,6964.86,1267.11,5175.51,3872.25,4418.49,2860.95,2832.78,2569.43,939.476,1281.27,737.091,1789.66,1187.57,1266.81,1377.81,1221.04,469.692,1236.86
sp|P08113|ENPL_MOUSE,Hsp90b1,ENPL_MOUSE Endoplasmin,19,12,6934.58,7133.57,11108.8,2148.09,7480.68,5880.67,10037,6910.98,7571.54,10394.6,3074.46,2144.1,1846.73,3511.45,3046.43,2568.96,2634.14,4211.45,2562.71,9297.49
sp|P08207|S10AA_MOUSE,S100a10,S10AA_MOUSE Protein S100-A10,0,1,0,0,0,0,0,0,0,0,0,0,34.0887,43.2464,73.8553,41.9401,60.1307,49.7255,41.3111,50.217,79.3635,54.7856
sp|P09103|PDIA1_MOUSE,P4hb,PDIA1_MOUSE Protein disulfide-isomerase,15,13,7182.08,7789.27,14299.3,2562.01,10349.1,7559.13,10089.6,8079.67,8488.89,10477.6,3102.67,3016.93,1532.95,5247.8,2173.9,2318.61,2862.34,4012.94,2245.3,5391.02
sp|P09405|NUCL_MOUSE,Ncl,NUCL_MOUSE Nucleolin,4,1,950.634,1260.32,1410.05,322.106,951.196,1185.33,1051.42,1379.95,1125.37,1217.29,58.8517,30.6386,26.6563,58.1298,59.0094,43.5534,55.9289,42.9745,58.916,58.1181
sp|P09411|PGK1_MOUSE,Pgk1,PGK1_MOUSE Phosphoglycerate kinase 1,2,4,371.057,627.537,651.39,119.904,521.13,428.979,454.939,573.662,453.555,651.422,295.208,415.492,323.983,345.776,398.159,309.045,220.905,438.985,669.528,416.18
sp|P0C0S6|H2AZ_MOUSE,H2afz,H2AZ_MOUSE Histone H2A.Z,1,1,793.249,690.959,905.66,120.13,713.411,574.923,470.392,1058.29,911.19,591.992,252.77,151.376,128.889,217.357,323.923,166.889,244.425,427.451,497.531,729.918
sp|P0C605|KGP1_MOUSE,Prkg1,KGP1_MOUSE cGMP-dependent protein kinase 1,0,1,0,0,0,0,0,0,0,0,0,0,40.9016,166.965,112.007,193.204,390.194,262.914,213.721,348.798,281.476,394.496
sp|P10107|ANXA1_MOUSE,Anxa1,ANXA1_MOUSE Annexin A1,3,3,236.563,366.3,755.735,142.387,502.895,462.152,320.335,761.201,410.044,7245.25,326.113,351.758,134.186,241.986,520.498,167.114,188.458,249.597,2807.23,414.832
sp|P10126|EF1A1_MOUSE,Eef1a1,EF1A1_MOUSE Elongation factor 1-alpha 1,12,8,6552,4962.54,5323.06,10100.5,4344.49,4457.06,5022.87,4667.1,4188.2,4120.71,1613.13,1533.23,1835.06,1637.87,1610.46,1595.28,1458.65,1746.08,2117.28,4485.32
sp|P10630|IF4A2_MOUSE,Eif4a2,IF4A2_MOUSE Eukaryotic initiation factor 4A-II,3,5,868.647,972.016,1478.91,703.657,657.441,919.377,1437.95,1035.83,1153.38,958.783,263.637,410.05,372.875,503.935,568.621,379.265,469.637,586.929,1385.33,4502.68
sp|P10639|THIO_MOUSE,Txn,THIO_MOUSE Thioredoxin,1,1,412.851,1247.09,730.079,158.023,618.532,522.56,456.175,544.106,698.234,612.6,300.777,273.08,234.564,120.308,271.809,194.841,197.989,346.862,549.695,191.217
sp|P10649|GSTM1_MOUSE,Gstm1,GSTM1_MOUSE Glutathione S-transferase Mu 1,5,3,2604.98,1223.34,2706.62,2687.53,1621.94,1470.25,1071.01,1208.32,3422.58,1806.69,622.055,870.942,785.445,1377.66,485.399,465.089,619.47,772.239,372.183,678.269
sp|P10853|H2B1F_MOUSE,Hist1h2bf,H2B1F_MOUSE Histone H2B type 1-F/J/L,5,6,3348.62,3645.29,6817.88,612.297,3488.04,3018.58,2415.89,6054.56,5211.74,3545.1,1682.13,1977.75,1352.89,2121.75,2269.7,1507.53,1677.8,2327.56,5188.04,7254.13
sp|P11087|CO1A1_MOUSE,Col1a1,CO1A1_MOUSE Collagen alpha-1(I) chain,2,0,386.292,337.926,629.136,256.345,540.772,626.859,475.861,556.333,7312.96,302.012,0,0,0,0,0,0,0,0,0,0
sp|P11152|LIPL_MOUSE,Lpl,LIPL_MOUSE Lipoprotein lipase,0,2,0,0,0,0,0,0,0,0,0,0,97.4432,60.2121,78.039,112.436,82.7635,77.2054,181.738,138.903,129.549,216.314
sp|P11276|FINC_MOUSE,Fn1,FINC_MOUSE Fibronectin,0,4,0,0,0,0,0,0,0,0,0,0,436.375,316.28,231.37,474.467,474.902,335.655,402.127,475.27,439.433,712.707
sp|P11352|GPX1_MOUSE,Gpx1,GPX1_MOUSE Glutathione peroxidase 1,6,3,1234.85,601.229,977.026,2751.23,1024.2,733.471,1024.24,1453.42,509.379,605.798,304.677,374.202,378.606,494.439,255.832,398.824,396.302,411.115,200.989,249.371
sp|P11404|FABPH_MOUSE,Fabp3,"FABPH_MOUSE Fatty acid-binding protein, heart",0,1,0,0,0,0,0,0,0,0,0,0,66.9584,36.33,41.399,36.4265,90.1926,23.4353,246.798,43.9221,221.985,133.886
sp|P11499|HS90B_MOUSE,Hsp90ab1,HS90B_MOUSE Heat shock protein HSP 90-beta,3,4,780.149,1144.19,1253.84,606.22,704.417,822.703,1073.69,813.327,992.344,1101.92,523.804,387.721,391.798,437.761,592.995,514.548,525.259,664.341,784.47,2406.13
sp|P11589|MUP2_MOUSE,Mup2,MUP2_MOUSE Major urinary protein 2,3,2,1132.99,1132.27,3152,547.912,1930.59,733.916,1452.47,896.76,699.966,1178.24,494.952,586.751,440.585,1370.41,232.333,423.14,293.443,430.702,313.863,943.449
sp|P11679|K2C8_MOUSE,Krt8,"K2C8_MOUSE Keratin, type II cytoskeletal 8",3,1,1591.86,1005.81,1552.66,506.703,1675.4,1901.21,1504.54,2125.48,2617.29,1422.88,708.837,328.353,375.402,302.604,543.165,352.143,238.651,476.823,294.383,226.201
sp|P11714|CP2D9_MOUSE,Cyp2d9,CP2D9_MOUSE Cytochrome P450 2D9,4,3,1567.8,1331.4,2744.79,752.886,1826.39,1263.92,1671.77,1347.23,1706.55,2168.66,299.239,287.021,193.83,549.586,191.565,215.727,221.801,293.536,155.727,362.464
sp|P11983|TCPA_MOUSE,Tcp1,TCPA_MOUSE T-complex protein 1 subunit alpha,1,2,157.807,139.577,125.801,79.1589,120.397,140.604,166.006,140.043,101.711,105.791,163.433,141.24,189.649,216.377,259.005,157.286,191.985,283.238,253.725,1871.76
sp|P12710|FABPL_MOUSE,Fabp1,"FABPL_MOUSE Fatty acid-binding protein, liver",4,2,816.633,458.828,768.089,942.622,668.713,488.665,527.322,454.269,830.374,1011.35,327.734,310.424,241.234,591.865,229.543,305.152,308.389,355.652,267.137,454.526
sp|P12970|RL7A_MOUSE,Rpl7a,RL7A_MOUSE 60S ribosomal protein L7a,16,10,10707.9,8386.68,14073.4,6927.15,17055.5,12862.5,15074.3,12602.3,4896.42,4209.03,3437.98,3062.99,1841.61,3194.34,3433.47,3305.07,3811.54,4203.88,1241.45,2401.91
sp|P13020|GELS_MOUSE,Gsn,GELS_MOUSE Gelsolin,7,4,1278.1,570.135,493.017,3142.34,549.933,628.784,442.647,696.359,1683.12,450.325,536.928,550.554,790.117,391.734,512.494,757.13,498.636,485.62,347.829,350.978
sp|P13707|GPDA_MOUSE,Gpd1,"GPDA_MOUSE Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",1,0,235.154,261.071,306.179,134.925,256.511,218.175,150.719,234.123,257.762,269.221,0,0,0,0,0,0,0,0,0,0
